Country,population,id
China,16000000,CHN
Soviet Union,13300000,RUS
Poland,5360000,POL
Germany,3267000,DEU
India,2413000,IND
Japan,980000,JPN
Philippines,943000,PHL
Greece,765000,GRC
Rumania,533000,ROU
Korea,473000,KOR
Lithuania,353000,LTU
France,350000,FRA
Czechoslovakia,320000,CZE
Netherlands,284000,NLD
Hungary,280000,HUN
Latvia,227000,LVA
Italy,155600,ITA
Austria,123700,AUT
Malaya,100000,MYS
Ethiopia,95000,ETH
Belgium,74000,BEL
United Kingdom,67100,GBR
Estonia,51000,EST
Singapore,50000,SGP
Papua New Guinea,15000,PNG
Norway,6500,NOR
Bulgaria,3000,BRA
Finland,2000,FIN
Luxembourg,2000,LUX
United States,1700,USA
Denmark,1100,DNK
Brazil,1000,BGR
Australia,700,AUS
Albania,200,ALB
Canada,0,CAN
New Zealand,0,NZL
South Africa,0,ZAF
